NC_009437.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete genome
NC_011832.1 Candidatus Methanosphaerula palustris E1-9c, complete genome
NC_014844.1 Desulfovibrio aespoeensis Aspo-2, complete genome
NZ_MLZL01000001.1 Bifidobacterium animalis subsp. lactis strain 646 Contig_1, whole genome shotgun sequence
NC_014537.1 Vulcanisaeta distributa DSM 14429, complete genome
NC_009441.1 Flavobacterium johnsoniae UW101, complete genome
NZ_AEVV03000024.1 Pseudomonas aeruginosa HB13 strain 138244 contig000024, whole genome shotgun sequence
NZ_CH902598.1 Vibrio alginolyticus 12G01 1100007009699, whole genome shotgun sequence
NC_004459.3 Vibrio vulnificus CMCP6 chromosome I, complete sequence
NC_011916.1 Caulobacter crescentus NA1000, complete genome
NC_008345.1 Shewanella frigidimarina NCIMB 400, complete genome
NC_008577.1 Shewanella sp. ANA-3 chromosome 1, complete sequence
NC_013511.1 Mycoplasma hominis ATCC 23114 chromosome complete genome
NZ_KI518470.1 Brucella suis 04-0115 genomic scaffold adgex-supercont1.1, whole genome shotgun sequence
NC_012806.1 Mycoplasma conjunctivae HRC/581T complete genome
NC_020519.1 Corynebacterium glutamicum K051 complete genome, strain ATCC 13032, sub-strain K051
NZ_LCZM01000001.1 Rhodopseudomonas palustris strain 42OL contig1, whole genome shotgun sequence
NC_014374.1 Acidilobus saccharovorans 345-15, complete genome
NC_015968.1 Enterobacter asburiae LF7a, complete genome
NZ_LDBS01000001.1 [Enterobacter] aerogenes strain GN03688 contig1, whole genome shotgun sequence
NZ_CP016394.1 Streptococcus thermophilus strain ND07, complete genome
NC_015576.1 Mycobacterium sinense strain JDM601, complete genome
NC_009921.1 Frankia sp. EAN1pec, complete genome
NC_014507.1 Methanoplanus petrolearius DSM 11571, complete genome
NC_008309.1 Haemophilus somnus 129PT, complete genome
NZ_LZGF01000001.1 Acholeplasma laidlawii strain PG8R contig00001, whole genome shotgun sequence
NC_010551.1 Burkholderia ambifaria MC40-6 chromosome 1, complete sequence
NZ_CP007040.1 Pasteurella multocida subsp. multocida str. HN07, complete genome
NC_013009.1 Neorickettsia risticii str. Illinois, complete genome
JAUE01000033.1 Streptococcus equi subsp. zooepidemicus Sz4is contig000001, whole genome shotgun sequence
NC_013971.1 Erwinia amylovora ATCC 49946 chromosomal sequence
NC_010673.1 Borrelia hermsii DAH, complete genome
NC_013532.1 Anaplasma centrale str. Israel, complete genome
NC_016642.1 Pseudovibrio sp. FO-BEG1, complete genome
NC_005125.1 Gloeobacter violaceus PCC 7421 chromosome, complete genome
NC_018014.1 Terriglobus roseus DSM 18391, complete genome
NC_003454.1 Fusobacterium nucleatum subsp. nucleatum ATCC 25586 chromosome, complete genome
NC_011999.1 Macrococcus caseolyticus JCSC5402 DNA, complete genome
NC_015428.1 Lactobacillus buchneri NRRL B-30929, complete genome
NC_015671.1 [Cellvibrio] gilvus ATCC 13127, complete genome
NC_005090.1 Wolinella succinogenes DSM 1740, complete genome
NZ_KV799500.1 Lactobacillus sp. HMSC077C11 Scaffold1, whole genome shotgun sequence
NZ_CABC01000134.1 Micrococcus luteus NCTC 2665, contig 133, whole genome shotgun sequence
NC_014393.1 Clostridium cellulovorans 743B, complete genome
NC_011898.1 Clostridium cellulolyticum H10, complete genome
NZ_ACEO02000063.1 Neisseria subflava NJ9703 N_subflava-1.0.1_Cont69.1, whole genome shotgun sequence
NZ_AQUM01000001.1 Rhizobium leguminosarum bv. viciae WSM1481 Rleg19DRAFT_scaffold1.1_C, whole genome shotgun sequence
NC_011766.1 Desulfurococcus kamchatkensis 1221n, complete genome
NC_014205.1 Staphylothermus hellenicus DSM 12710, complete genome
NZ_KE145374.1 Lactobacillus delbrueckii subsp. lactis CRL581 genomic scaffold scaffold00001, whole genome shotgun sequence
NC_013850.1 Klebsiella variicola At-22, complete genome
NC_012115.1 Nautilia profundicola AmH, complete genome
NZ_JUZU01000001.1 Corynebacterium aurimucosum strain 620_CAUR 0_307_4267, whole genome shotgun sequence
NZ_FNTW01000004.1 Streptomyces griseus strain DSM 40236, whole genome shotgun sequence
NZ_JWIX01000066.1 Clostridium tetani strain A map unlocalized plasmid pStrain_A plasmid_1, whole genome shotgun sequence
NC_013798.1 Streptococcus gallolyticus UCN34 complete genome
NC_015730.1 Roseobacter litoralis Och 149, complete genome
NC_014209.1 Thermoanaerobacter mathranii subsp. mathranii str. A3, complete genome
NC_010582.1 Streptococcus pneumoniae CGSP14, complete genome
NC_015680.1 Pyrococcus yayanosii CH1, complete genome
NC_004917.1 Helicobacter hepaticus ATCC 51449, complete genome
NC_012846.1 Bartonella grahamii as4aup, complete genome
NC_007964.1 Nitrobacter hamburgensis X14, complete genome
NZ_GG700800.1 Lactobacillus helveticus DSM 20075 genomic scaffold SCAFFOLD49, whole genome shotgun sequence
NC_007973.1 Cupriavidus metallidurans CH34, complete genome
NC_010793.1 Orientia tsutsugamushi str. Ikeda DNA, complete genome
NC_015563.1 Delftia sp. Cs1-4, complete genome
NZ_CP011930.1 Herbaspirillum seropedicae strain Z67, complete genome
NC_014506.1 Sulfurimonas autotrophica DSM 16294, complete genome
NZ_GG696889.1 Staphylococcus epidermidis W23144 genomic scaffold SCAFFOLD91, whole genome shotgun sequence
NC_013740.1 Acidaminococcus fermentans DSM 20731, complete genome
NC_014958.1 Deinococcus maricopensis DSM 21211, complete genome
NC_014011.1 Aminobacterium colombiense DSM 12261, complete genome
NZ_JSZX01000001.1 Bacillus anthracis strain 2000032832 contig0001, whole genome shotgun sequence
NC_014761.1 Oceanithermus profundus DSM 14977, complete genome
NC_007622.1 Staphylococcus aureus RF122 complete genome
NC_012969.1 Methylovorus glucosetrophus SIP3-4, complete genome
NZ_CP007207.1 Flavobacterium psychrophilum FPG3, complete genome
NZ_AKCA01000001.1 Bifidobacterium bifidum NCIMB 41171 cont1.1, whole genome shotgun sequence
NC_014034.1 Rhodobacter capsulatus SB 1003, complete genome
NC_012438.1 Sulfurihydrogenibium azorense Az-Fu1, complete genome
NZ_GL383087.1 Propionibacterium acnes HL001PA1 Scfld23, whole genome shotgun sequence
NC_009074.1 Burkholderia pseudomallei 668 chromosome I, complete sequence
NC_015714.1 Treponema paraluiscuniculi Cuniculi A, complete genome
JVZP01000019.1 Cutibacterium acnes strain 119_PAVI 100_212_3125, whole genome shotgun sequence
NC_008786.1 Verminephrobacter eiseniae EF01-2, complete genome
NC_014148.1 Planctomyces limnophilus DSM 3776, complete genome
NC_013159.1 Saccharomonospora viridis DSM 43017, complete genome
NC_013446.2 Comamonas testosteroni CNB-2, complete genome
NC_015458.1 Pusillimonas sp. T7-7, complete genome
NC_021030.1 Alistipes shahii WAL 8301 draft genome
NC_007508.1 Xanthomonas campestris pv. vesicatoria complete genome
NZ_FRQV01000088.1 Pseudomonas aeruginosa isolate 348, whole genome shotgun sequence
NZ_AEGG01000104.1 Pseudomonas savastanoi pv. glycinea str. B076 Contig104, whole genome shotgun sequence
NZ_JH724206.1 Bacteroides fragilis CL07T00C01 genomic scaffold supercont1.1, whole genome shotgun sequence
NC_014972.1 Desulfobulbus propionicus DSM 2032, complete genome
NC_014220.1 Syntrophothermus lipocalidus DSM 12680, complete genome
NC_013739.1 Conexibacter woesei DSM 14684, complete genome
NC_011145.1 Anaeromyxobacter sp. K, complete genome
NZ_AZCY01000001.1 Lactobacillus johnsonii ATCC 33200 Scaffold1, whole genome shotgun sequence
NZ_AKGN01000001.1 Staphylococcus epidermidis NIHLM061 HMPREF9990_contig00001, whole genome shotgun sequence
NC_007503.1 Carboxydothermus hydrogenoformans Z-2901, complete genome
NC_009092.1 Shewanella loihica PV-4, complete genome
NC_015497.1 Glaciecola sp. 4H-3-7+YE-5, complete genome
NC_008023.1 Streptococcus pyogenes MGAS2096, complete genome
NZ_MTZT01000008.1 Lactobacillus gasseri strain AL3 scaffold10_size483, whole genome shotgun sequence
NC_014760.1 Mycoplasma bovis PG45 clone MU clone A2, complete genome
NC_013156.1 Methanocaldococcus fervens AG86, complete genome
NC_016629.1 Desulfovibrio africanus str. Walvis Bay, complete genome
NC_015474.1 Pyrococcus sp. NA2, complete genome
NZ_LBDG01000027.1 Lactobacillus fermentum strain 39 Contig_1, whole genome shotgun sequence
NC_014923.1 Mesorhizobium ciceri biovar biserrulae WSM1271 chromosome, complete genome
NZ_KQ410700.1 Yersinia pestis strain EV76D scaffold1, whole genome shotgun sequence
NC_002936.3 Dehalococcoides ethenogenes 195, complete genome
NC_014387.1 Butyrivibrio proteoclasticus B316 chromosome 1, complete sequence
NZ_GG688485.1 Enterococcus faecium 1,141,733 plasmid scaffold supercont1.25, whole genome shotgun sequence
NC_014934.1 Cellulophaga algicola DSM 14237, complete genome
NC_011297.1 Dictyoglomus thermophilum H-6-12, complete genome
NC_007929.1 Lactobacillus salivarius UCC118 chromosome, complete genome
NC_008322.1 Shewanella sp. MR-7, complete genome
NC_015958.1 Thermoanaerobacter wiegelii Rt8.B1, complete genome
NC_015711.1 Myxococcus fulvus HW-1, complete genome
NC_013037.1 Dyadobacter fermentans DSM 18053, complete genome
NZ_JSDT01000001.1 Bifidobacterium bifidum strain 324B Contig01, whole genome shotgun sequence
NZ_CP015187.1 Corynebacterium pseudotuberculosis strain 38, complete genome
NC_016620.1 Bacteriovorax marinus SJ genome
NC_012856.1 Ralstonia pickettii 12D chromosome 1, complete sequence
NC_003552.1 Methanosarcina acetivorans str. C2A, complete genome
NC_013223.1 Desulfohalobium retbaense DSM 5692, complete genome
NC_015164.1 Bacteroides salanitronis DSM 18170, complete genome
NC_013926.1 Aciduliprofundum boonei T469, complete genome
NC_013440.1 Haliangium ochraceum DSM 14365, complete genome
NC_009922.1 Alkaliphilus oremlandii OhILAs, complete genome
NC_013510.1 Thermomonospora curvata DSM 43183, complete genome
NC_015707.1 Thermotoga thermarum DSM 5069, complete genome
NC_015737.1 Clostridium sp. SY8519 DNA, complete genome
NC_011047.1 Candidatus Phytoplasma mali strain AT complete chromosome
NC_014829.1 Bacillus cellulosilyticus DSM 2522, complete genome
NC_021286.1 Idiomarina loihiensis GSL 199, complete genome
NC_015500.1 Treponema brennaborense DSM 12168, complete genome
NC_009937.1 Azorhizobium caulinodans ORS 571 DNA, complete genome
CP000614.1 Burkholderia vietnamiensis G4 chromosome 1, complete sequence
NC_009439.1 Pseudomonas mendocina ymp, complete genome
NZ_ATKC01000001.1 Fusobacterium nucleatum subsp. nucleatum ChDC F316 Contig001, whole genome shotgun sequence
NC_010080.1 Lactobacillus helveticus DPC 4571, complete genome
NC_014012.1 Shewanella violacea DSS12 DNA, complete genome
NZ_HG428182.1 Xenorhabdus bovienii str. Jollieti, whole genome shotgun sequence
NZ_AFAR01000332.1 Rhodopirellula baltica WH47 cWH470361, whole genome shotgun sequence
NZ_LHPX01000001.1 Mycoplasma pneumoniae strain Mympn_4802 MYPN4802_497, whole genome shotgun sequence
NZ_FPKM01000170.1 Azotobacter vinelandii strain DSM 279, whole genome shotgun sequence
NC_015580.1 Novosphingobium sp. PP1Y main chromosome, complete replicon
NZ_FDTR01000001.1 Streptococcus pneumoniae strain 2842STDY5644612 genome assembly, contig: ERS368041SCcontig000001, whole genome shotgun sequence
NC_011060.1 Pelodictyon phaeoclathratiforme BU-1, complete genome
NC_011374.1 Ureaplasma urealyticum serovar 10 str. ATCC 33699, complete genome
NC_011726.1 Cyanothece sp. PCC 8801, complete genome
NC_015687.1 Clostridium acetobutylicum DSM 1731, complete genome
NZ_JYNG01000001.1 Vibrio parahaemolyticus strain 04-2549 contig1, whole genome shotgun sequence
NC_010334.1 Shewanella halifaxensis HAW-EB4, complete genome
NZ_CP010967.1 Thermotoga maritima strain Tma200, complete genome
NC_014158.1 Tsukamurella paurometabola DSM 20162, complete genome
NC_009654.1 Marinomonas sp. MWYL1, complete genome
NC_009480.1 Clavibacter michiganensis subsp. michiganensis NCPPB 382 complete genome
NC_022040.1 Corynebacterium glutamicum MB001, complete genome
NZ_CP009496.1 Mycobacterium smegmatis strain INHR2, complete genome
NC_005295.2 Ehrlichia ruminantium strain Welgevonden, complete genome
NC_001263.1 Deinococcus radiodurans R1 chromosome 1, complete sequence
NC_011840.1 Borrelia garinii PBr plasmid PBr_cp26, complete sequence
NZ_MLLY01000132.1 Oenococcus oeni strain AWRIB322 AWRIB322_contig100_group132, whole genome shotgun sequence
NZ_CP007471.1 Haemophilus influenzae strain C486, complete genome
NC_018001.1 Desulfurococcus fermentans DSM 16532, complete genome
NC_010718.1 Natranaerobius thermophilus JW/NM-WN-LF, complete genome
NC_019904.1 Echinicola vietnamensis DSM 17526, complete genome
NC_014109.1 Candidatus Riesia pediculicola USDA, complete genome
NC_008711.1 Arthrobacter aurescens TC1, complete genome
NC_013921.1 Thermoanaerobacter italicus Ab9, complete genome
NC_011027.1 Chlorobaculum parvum NCIB 8327, complete genome
NC_015914.1 Cyclobacterium marinum DSM 745, complete genome
NC_016052.1 Tetragenococcus halophilus NBRC 12172 DNA, complete genome
NZ_CH981523.1 Paenibacillus larvae subsp. larvae BRL-230010 SCAFFOLD152 genomic scaffold, whole genome shotgun sequence
NC_007677.1 Salinibacter ruber DSM 13855 chromosome, complete genome
NC_016582.1 Streptomyces bingchenggensis BCW-1, complete genome
NC_015161.1 Deinococcus proteolyticus MRP, complete genome
NC_017770.1 Solitalea canadensis DSM 3403, complete genome
NZ_JH724215.1 Bacteroides fragilis CL07T12C05 genomic scaffold supercont1.1, whole genome shotgun sequence
NC_016002.1 Pseudogulbenkiania sp. NH8B DNA, complete genome
NC_015145.1 Arthrobacter phenanthrenivorans Sphe3, complete genome
NC_008095.1 Myxococcus xanthus DK 1622, complete genome
NC_002570.2 Bacillus halodurans C-125 DNA, complete genome
NC_007644.1 Moorella thermoacetica ATCC 39073 chromosome, complete genome
NC_016026.1 Micavibrio aeruginosavorus ARL-13, complete genome
NZ_GL454348.1 Enterococcus faecalis TX0027 genomic scaffold Scfld4, whole genome shotgun sequence
NC_008700.1 Shewanella amazonensis SB2B, complete genome
NC_012883.1 Thermococcus sibiricus MM 739, complete genome
NZ_AAMD01000579.1 Stigmatella aurantiaca DW4/3-1 gsam_325, whole genome shotgun sequence
NC_015907.1 Borrelia bissettii DN127 plasmid cp26, complete sequence
NC_017278.1 Thermus sp. CCB_US3_UF1, complete genome
NC_008536.1 Solibacter usitatus Ellin6076, complete genome
NZ_AGKM01000096.1 Streptococcus mutans TCI-125 contig00169, whole genome shotgun sequence
NC_007481.1 Pseudoalteromonas haloplanktis str. TAC125 chromosome I, complete sequence
NC_013656.1 Lactococcus lactis subsp. lactis KF147, complete genome
NC_002662.1 Lactococcus lactis subsp. lactis Il1403 chromosome, complete genome
NC_015434.1 Verrucosispora maris AB-18-032, complete genome
NC_014330.1 Brachyspira pilosicoli 95/1000, complete genome
NC_014147.1 Moraxella catarrhalis BBH18, complete genome
NC_015954.1 Halophilic archaeon DL31, complete genome
NC_015865.1 Thermococcus sp. 4557, complete genome
NC_017502.1 Mycoplasma gallisepticum str. R(high), complete genome
NC_008044.1 Silicibacter sp. TM1040, complete genome
NC_010336.1 Francisella philomiragia subsp. philomiragia ATCC 25017, complete genome
NC_012039.1 Campylobacter lari RM2100, complete genome
NC_014392.1 Caldicellulosiruptor obsidiansis OB47, complete genome
NC_009802.2 Campylobacter concisus 13826, complete genome
NC_008086.1 Helicobacter pylori HPAG1, complete genome
NZ_AGKG01000146.1 Streptococcus mutans TCI-109 contig00336, whole genome shotgun sequence
NC_015957.1 Streptomyces violaceusniger Tu 4113, complete genome
NC_013364.1 Escherichia coli O111:H- str. 11128 DNA, complete genome
NC_011662.2 Thauera sp. MZ1T, complete genome
NC_015681.1 Thermodesulfatator indicus DSM 15286, complete genome
NC_002663.1 Pasteurella multocida subsp. multocida str. Pm70, complete genome
NZ_GL383913.1 Propionibacterium acnes HL059PA1 Scfld5, whole genome shotgun sequence
NZ_ADHB01001062.1 Acinetobacter baumannii AB059 AB59_NODE_2828, whole genome shotgun sequence
NC_011666.1 Methylocella silvestris BL2, complete genome
NC_009655.1 Actinobacillus succinogenes 130Z, complete genome
NC_009436.1 Enterobacter sp. 638, complete genome
NC_005955.1 Bartonella quintana str. Toulouse, complete genome
NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome
NC_010424.1 Candidatus Desulforudis audaxviator MP104C, complete genome
NC_008009.1 Candidatus Koribacter versatilis Ellin345, complete genome
NC_010995.1 Cellvibrio japonicus Ueda107, complete genome
NC_010516.1 Clostridium botulinum B1 str. Okra, complete genome
NC_007298.1 Dechloromonas aromatica RCB, complete genome
NC_014010.1 Candidatus Puniceispirillum marinum IMCC1322, complete genome
NC_017192.1 Arcobacter sp. L DNA, complete genome
NC_010794.1 Methylacidiphilum infernorum V4, complete genome
NC_013891.1 Listeria seeligeri serovar 1/2b str. SLCC3954 complete genome
NC_014033.1 Prevotella ruminicola 23, complete genome
NZ_LZDT01000001.1 Lactobacillus gasseri strain 505 contig00001, whole genome shotgun sequence
NZ_AXZX01000001.1 Burkholderia cenocepacia PT15 contig00001, whole genome shotgun sequence
NC_014375.1 Brevundimonas subvibrioides ATCC 15264, complete genome
NZ_LNZG01000001.1 Leifsonia xyli subsp. xyli strain gdw1 scaffold1, whole genome shotgun sequence
NZ_CP013315.1 Vibrio cholerae strain M2140 chromosome 1, complete sequence
NC_011653.1 Thermosipho africanus TCF52B, complete genome
NC_008701.1 Pyrobaculum islandicum DSM 4184, complete genome
NC_012803.1 Micrococcus luteus NCTC 2665, complete genome
NC_013791.2 Bacillus pseudofirmus OF4, complete genome
NC_016633.1 Sphaerochaeta pleomorpha str. Grapes, complete genome
NC_016616.1 Dechlorosoma suillum PS, complete genome
NC_008022.1 Streptococcus pyogenes MGAS10270, complete genome
NC_009615.1 Parabacteroides distasonis ATCC 8503, complete genome
NZ_JPGN01000541.1 Nitrosococcus oceani C-27 map unlocalized plasmid plasmid A contig_5, whole genome shotgun sequence
NC_016012.1 Candidatus Arthromitus sp. SFB-rat-Yit DNA, complete genome
NZ_CVHW01000001.1 Staphylococcus aureus genome assembly 8489_7#23, scaffold ERS157385SCcontig000001, whole genome shotgun sequence
NC_009446.1 Dichelobacter nodosus VCS1703A, complete genome
NC_015510.1 Haliscomenobacter hydrossis DSM 1100, complete genome
NC_012673.1 Exiguobacterium sp. AT1b, complete genome
NC_020830.1 Polaribacter sp. MED152, complete genome
NC_008321.1 Shewanella sp. MR-4, complete genome
NC_013887.1 Methanocaldococcus sp. FS406-22, complete genome
NC_016589.1 Burkholderia sp. YI23 chromosome 1, complete sequence
NC_010506.1 Shewanella woodyi ATCC 51908, complete genome
NC_016147.2 Pseudoxanthomonas spadix BD-a59, complete genome
NZ_CP009968.1 Bacillus cereus E33L, complete genome
NZ_LNBT01000155.1 Mycobacterium avium subsp. hominissuis strain MAH-P-7673-04 d, whole genome shotgun sequence
NC_011244.1 Borrelia recurrentis A1, complete genome
NC_011740.1 Escherichia fergusonii ATCC 35469 chromosome, complete genome
NC_012108.1 Desulfobacterium autotrophicum HRM2, complete genome
NC_014722.1 Burkholderia rhizoxinica HKI 454, complete genome
NC_021514.1 Lactobacillus plantarum 16, complete genome
NC_013174.1 Jonesia denitrificans DSM 20603, complete genome
NC_021663.1 Corynebacterium terpenotabidum Y-11, complete genome
NC_010475.1 Synechococcus sp. PCC 7002, complete genome
NC_011386.1 Oligotropha carboxidovorans OM5 strain OM5, complete genome
NC_014414.1 Parvularcula bermudensis HTCC2503 strain HTCC2503, complete genome
NC_015167.1 Cellulophaga lytica DSM 7489, complete genome
NZ_DS607684.1 Providencia stuartii ATCC 25827 Scfld_02_51, whole genome shotgun sequence
NC_014377.1 Thermosediminibacter oceani DSM 16646, complete genome
NC_014961.1 Desulfurococcus mucosus DSM 2162, complete genome
NC_018089.1 Streptococcus mutans GS-5, complete genome
NC_009497.1 Mycoplasma agalactiae PG2 chromosome, complete sequence
NC_013169.1 Kytococcus sedentarius DSM 20547, complete genome
